,x,a
1,0,0
2,0.1333742549,0.1
3,0.3250039638,0.268965517241379
4,0.4800043736,0.437931034482759
5,0.6039300998,0.606896551724138
6,0.7024419591,0.775862068965517
7,0.7791483332,0.944827586206897
8,0.8386348931,1.11379310344828
9,0.8838558093,1.28275862068966
10,0.9177157159,1.45172413793103
11,0.9425307682,1.62068965517241
12,0.9608340347,1.78965517241379
13,0.9736878614,1.95862068965517
14,0.9828061942,2.12758620689655
15,0.988889397,2.29655172413793
16,0.9930206151,2.46551724137931
17,0.9957694629,2.63448275862069
18,0.997473672,2.80344827586207
19,0.9985162761,2.97241379310345
20,0.9991428103,3.14137931034483
21,0.9995200298,3.31034482758621
22,0.9997436445,3.47931034482759
23,0.999864619,3.64827586206897
24,0.9999323136,3.81724137931035
25,0.9999693631,3.98620689655172
26,0.9999857857,4.1551724137931
27,0.9999918912,4.32413793103448
28,0.9999958962,4.49310344827586
29,0.9999980983,4.66206896551724
30,0.9999991993,4.83103448275862
31,0.9999996998,5
